tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
1/30/2021,46,,39,25,32,64,64,O3,SEDANG,DKI2
1/31/2021,41,,55,24,29,68,68,O3,SEDANG,DKI2
2/1/2021,73,126,38,26,46,34,126,PM25,TIDAK SEHAT,DKI5
2/2/2021,53,70,40,14,55,25,70,PM25,SEDANG,DKI3
2/3/2021,32,53,40,11,42,19,53,PM25,SEDANG,DKI3
2/4/2021,36,59,40,14,47,24,59,PM25,SEDANG,DKI5
2/5/2021,29,51,40,14,45,35,51,PM25,SEDANG,DKI3
2/6/2021,34,53,40,8,57,15,57,O3,SEDANG,DKI2
2/7/2021,33,55,40,10,57,13,57,O3,SEDANG,DKI2
2/8/2021,26,44,39,10,54,17,54,O3,SEDANG,DKI2
2/9/2021,33,57,40,13,47,22,57,PM25,SEDANG,DKI4
2/10/2021,50,64,40,13,49,16,64,PM25,SEDANG,DKI3
2/11/2021,38,57,43,13,35,17,57,PM25,SEDANG,DKI3
2/12/2021,63,98,43,16,33,42,98,PM25,SEDANG,DKI3
2/13/2021,59,89,40,12,40,16,89,PM25,SEDANG,DKI3
2/14/2021,55,73,40,11,42,19,73,PM25,SEDANG,DKI3
2/15/2021,42,66,40,13,37,25,66,PM25,SEDANG,DKI4
2/16/2021,43,63,40,11,42,26,63,PM25,SEDANG,DKI4
2/17/2021,46,71,40,25,41,37,71,PM25,SEDANG,DKI5
2/18/2021,53,70,44,13,41,29,70,PM25,SEDANG,DKI3
2/19/2021,32,52,42,20,41,33,52,PM25,SEDANG,DKI5
2/20/2021,45,63,39,13,53,20,63,PM25,SEDANG,DKI4
2/21/2021,36,52,39,10,48,17,52,PM25,SEDANG,DKI5
2/22/2021,68,103,42,22,41,40,103,PM25,TIDAK SEHAT,DKI3
2/23/2021,66,90,40,16,54,23,90,PM25,SEDANG,DKI3
2/24/2021,42,61,40,10,33,16,61,PM25,SEDANG,DKI4
2/25/2021,31,54,43,12,45,23,54,PM25,SEDANG,DKI3
2/26/2021,48,75,43,13,40,20,75,PM25,SEDANG,DKI4
2/27/2021,59,94,44,15,50,31,94,PM25,SEDANG,DKI4
2/28/2021,68,113,40,18,60,18,113,PM25,TIDAK SEHAT,DKI4
3/1/2021,62,97,45,13,38,18,97,PM25,SEDANG,DKI3
3/2/2021,55,81,50,17,53,28,81,PM25,SEDANG,DKI4
3/3/2021,59,83,46,21,50,35,83,PM25,SEDANG,DKI3
3/4/2021,62,103,45,19,49,31,103,PM25,TIDAK SEHAT,DKI4
3/5/2021,65,81,54,16,59,30,81,PM25,SEDANG,DKI2
3/6/2021,71,95,59,25,52,42,95,PM25,SEDANG,DKI4
3/7/2021,64,103,41,23,51,31,103,PM25,TIDAK SEHAT,DKI5
3/8/2021,58,81,40,16,41,22,81,PM25,SEDANG,DKI4
3/9/2021,51,63,41,15,33,22,63,PM25,SEDANG,DKI3
3/10/2021,60,91,42,21,42,39,91,PM25,SEDANG,DKI5
3/11/2021,38,53,39,9,43,21,53,PM25,SEDANG,DKI4
3/12/2021,66,99,41,19,45,25,99,PM25,SEDANG,DKI3
3/13/2021,53,72,41,13,41,25,72,PM25,SEDANG,DKI3
3/14/2021,52,73,41,16,37,21,73,PM25,SEDANG,DKI3
3/15/2021,55,92,42,18,49,34,92,PM25,SEDANG,DKI5
3/16/2021,67,101,46,13,57,36,101,PM25,TIDAK SEHAT,DKI4
3/17/2021,78,123,55,20,53,45,123,PM25,TIDAK SEHAT,DKI4
3/18/2021,78,125,45,16,74,40,125,PM25,TIDAK SEHAT,DKI4
3/19/2021,73,96,42,14,59,35,96,PM25,SEDANG,DKI5
3/20/2021,65,106,44,16,56,31,106,PM25,TIDAK SEHAT,DKI3
3/21/2021,81,118,41,16,51,17,118,PM25,TIDAK SEHAT,DKI3
3/22/2021,62,93,41,15,43,18,93,PM25,SEDANG,DKI3
3/23/2021,51,77,41,11,44,16,77,PM25,SEDANG,DKI3
3/24/2021,43,64,40,11,37,15,64,PM25,SEDANG,DKI3
3/25/2021,38,68,41,9,41,17,68,PM25,SEDANG,DKI4
3/26/2021,57,83,42,19,53,28,83,PM25,SEDANG,DKI4
3/27/2021,62,91,49,13,63,33,91,PM25,SEDANG,DKI4
3/28/2021,57,78,43,15,71,31,78,PM25,SEDANG,DKI5
3/29/2021,65,91,48,19,67,37,91,PM25,SEDANG,DKI5
3/30/2021,59,76,42,15,55,30,76,PM25,SEDANG,DKI4
3/31/2021,56,69,43,18,48,25,69,PM25,SEDANG,DKI4
4/1/2021,28,52,41,11,43,19,52,PM25,SEDANG,DKI3
4/2/2021,51,70,44,11,42,19,70,PM25,SEDANG,DKI3
4/3/2021,39,67,42,9,57,22,67,PM25,SEDANG,DKI4
4/4/2021,68,103,43,30,49,37,103,PM25,TIDAK SEHAT,DKI3
4/5/2021,61,85,43,15,59,28,85,PM25,SEDANG,DKI3
4/6/2021,43,61,43,10,36,18,61,PM25,SEDANG,DKI2
4/7/2021,30,52,42,11,43,19,52,PM25,SEDANG,DKI2
4/8/2021,39,57,51,12,40,22,57,PM25,SEDANG,DKI2
4/9/2021,55,77,43,14,49,28,77,PM25,SEDANG,DKI5
4/10/2021,64,101,43,16,50,29,101,PM25,TIDAK SEHAT,DKI3
4/11/2021,66,108,50,18,60,31,108,PM25,TIDAK SEHAT,DKI4
4/12/2021,69,93,51,20,54,31,93,PM25,SEDANG,DKI2
4/13/2021,70,82,63,18,64,40,82,PM25,SEDANG,DKI2
4/14/2021,65,81,55,16,65,32,81,PM25,SEDANG,DKI2
4/15/2021,67,88,55,27,50,42,88,PM25,SEDANG,DKI5
4/16/2021,69,94,55,20,50,44,94,PM25,SEDANG,DKI2
4/17/2021,67,118,43,20,39,41,118,PM25,TIDAK SEHAT,DKI5
4/18/2021,57,93,42,16,32,26,93,PM25,SEDANG,DKI5
4/19/2021,63,108,52,14,41,30,108,PM25,TIDAK SEHAT,DKI5
4/20/2021,64,94,52,12,55,30,94,PM25,SEDANG,DKI2
4/21/2021,76,105,56,19,50,37,105,PM25,TIDAK SEHAT,DKI5
4/22/2021,63,99,52,14,60,40,99,PM25,SEDANG,DKI4
4/23/2021,75,112,51,16,65,42,112,PM25,TIDAK SEHAT,DKI4
4/24/2021,88,115,61,18,73,40,115,PM25,TIDAK SEHAT,DKI2
4/25/2021,74,116,55,17,58,36,116,PM25,TIDAK SEHAT,DKI4
4/26/2021,64,117,52,11,59,24,117,PM25,TIDAK SEHAT,DKI4
4/27/2021,75,138,51,12,65,28,138,PM25,TIDAK SEHAT,DKI4
4/28/2021,61,94,51,15,56,34,94,PM25,SEDANG,DKI4
4/29/2021,69,85,60,17,44,38,85,PM25,SEDANG,DKI2
4/30/2021,71,91,57,18,55,42,91,PM25,SEDANG,DKI2
5/1/2021,66,102,51,15,57,33,102,PM25,TIDAK SEHAT,DKI3
5/2/2021,55,89,47,13,53,17,89,PM25,SEDANG,DKI4
5/3/2021,61,95,50,10,51,20,95,PM25,SEDANG,DKI4
5/4/2021,74,113,54,18,39,26,113,PM25,TIDAK SEHAT,DKI4
5/5/2021,73,117,53,20,45,38,117,PM25,TIDAK SEHAT,DKI4
5/6/2021,57,77,53,16,66,38,77,PM25,SEDANG,DKI4
5/7/2021,67,83,61,26,151,45,151,O3,TIDAK SEHAT,DKI3
5/8/2021,60,87,53,12,71,28,87,PM25,SEDANG,DKI4
5/9/2021,46,66,46,9,61,21,66,PM25,SEDANG,DKI4
5/10/2021,55,76,51,10,66,21,76,PM25,SEDANG,DKI3
5/11/2021,69,102,50,12,57,24,102,PM25,TIDAK SEHAT,DKI4
5/12/2021,67,105,52,10,63,21,105,PM25,TIDAK SEHAT,DKI4
5/13/2021,81,115,49,14,48,20,115,PM25,TIDAK SEHAT,DKI5
5/14/2021,56,81,51,9,52,14,81,PM25,SEDANG,DKI5
5/15/2021,62,89,54,11,40,19,89,PM25,SEDANG,DKI4
5/16/2021,54,92,50,9,52,16,92,PM25,SEDANG,DKI4
5/17/2021,54,75,55,11,51,24,75,PM25,SEDANG,DKI5
5/18/2021,41,58,48,10,49,26,58,PM25,SEDANG,DKI3
5/19/2021,61,99,52,17,55,36,99,PM25,SEDANG,DKI4
5/20/2021,66,103,53,12,56,27,103,PM25,TIDAK SEHAT,DKI4
5/21/2021,60,95,58,15,65,34,95,PM25,SEDANG,DKI4
5/22/2021,64,90,62,16,66,36,90,PM25,SEDANG,DKI2
5/23/2021,73,109,64,31,57,40,109,PM25,TIDAK SEHAT,DKI5
5/24/2021,86,118,74,26,72,38,118,PM25,TIDAK SEHAT,DKI4
5/25/2021,56,70,52,15,66,35,70,PM25,SEDANG,DKI5
5/26/2021,62,93,52,12,64,24,93,PM25,SEDANG,DKI4
5/27/2021,60,79,52,10,62,20,79,PM25,SEDANG,DKI4
5/28/2021,66,93,53,12,63,24,93,PM25,SEDANG,DKI4
5/29/2021,60,91,46,14,66,32,91,PM25,SEDANG,DKI4
5/30/2021,53,72,55,17,51,29,72,PM25,SEDANG,DKI4
5/31/2021,62,93,49,20,71,37,93,PM25,SEDANG,DKI4
6/1/2021,73,105,50,18,64,35,105,PM25,TIDAK SEHAT,DKI3
6/2/2021,68,100,54,20,76,38,100,PM25,SEDANG,DKI4
6/3/2021,68,93,57,20,61,41,93,PM25,SEDANG,DKI2
6/4/2021,66,100,48,13,76,30,100,PM25,SEDANG,DKI4
6/5/2021,64,93,51,20,65,38,93,PM25,SEDANG,DKI4
6/6/2021,63,95,50,15,72,32,95,PM25,SEDANG,DKI3
6/7/2021,61,86,52,15,68,31,86,PM25,SEDANG,DKI4
6/8/2021,70,103,53,16,72,38,103,PM25,TIDAK SEHAT,DKI4
6/9/2021,68,108,54,14,67,34,108,PM25,TIDAK SEHAT,DKI4
6/10/2021,71,108,56,23,48,47,108,PM25,TIDAK SEHAT,DKI4
6/11/2021,65,99,51,15,61,40,99,PM25,SEDANG,DKI4
6/12/2021,67,93,54,17,57,35,93,PM25,SEDANG,DKI4
6/13/2021,55,80,52,14,58,25,80,PM25,SEDANG,DKI4
6/14/2021,69,103,53,13,58,26,103,PM25,TIDAK SEHAT,DKI4
6/15/2021,73,114,52,13,44,29,114,PM25,TIDAK SEHAT,DKI3
6/16/2021,67,97,66,25,43,55,97,PM25,SEDANG,DKI5
6/17/2021,66,102,51,28,44,41,102,PM25,TIDAK SEHAT,DKI4
6/18/2021,77,102,59,23,49,45,102,PM25,TIDAK SEHAT,DKI4
6/19/2021,64,102,59,21,41,45,102,PM25,TIDAK SEHAT,DKI4
6/20/2021,81,140,66,26,44,58,140,PM25,TIDAK SEHAT,DKI4
6/21/2021,62,90,55,16,44,35,90,PM25,SEDANG,DKI4
6/22/2021,59,84,54,16,38,35,84,PM25,SEDANG,DKI4
6/23/2021,66,107,52,17,51,43,107,PM25,TIDAK SEHAT,DKI4
6/24/2021,80,119,54,19,42,52,119,PM25,TIDAK SEHAT,DKI4
6/25/2021,85,147,58,30,40,63,147,PM25,TIDAK SEHAT,DKI4
6/26/2021,67,118,53,10,53,23,118,PM25,TIDAK SEHAT,DKI4
6/27/2021,72,134,57,22,57,41,134,PM25,TIDAK SEHAT,DKI4
6/28/2021,65,117,53,18,61,38,117,PM25,TIDAK SEHAT,DKI4
6/29/2021,75,128,52,24,51,50,128,PM25,TIDAK SEHAT,DKI5
6/30/2021,79,125,57,19,55,38,125,PM25,TIDAK SEHAT,DKI4
7/1/2021,64,114,53,14,48,31,114,PM25,TIDAK SEHAT,DKI4
7/2/2021,68,108,56,23,40,51,108,PM25,TIDAK SEHAT,DKI4
7/3/2021,80,141,54,13,44,27,141,PM25,TIDAK SEHAT,DKI4
7/4/2021,94,161,51,15,50,25,161,PM25,TIDAK SEHAT,DKI4
7/5/2021,83,153,56,13,62,26,153,PM25,TIDAK SEHAT,DKI4
7/6/2021,68,102,51,10,55,29,102,PM25,TIDAK SEHAT,DKI3
7/7/2021,84,130,54,12,51,27,130,PM25,TIDAK SEHAT,DKI4
7/8/2021,83,145,56,11,50,26,145,PM25,TIDAK SEHAT,DKI4
7/9/2021,92,156,59,11,56,26,156,PM25,TIDAK SEHAT,DKI4
7/10/2021,78,132,54,10,63,23,132,PM25,TIDAK SEHAT,DKI4
7/11/2021,66,119,54,10,54,17,119,PM25,TIDAK SEHAT,DKI4
7/12/2021,64,59,52,9,44,14,64,PM10,SEDANG,DKI2
7/13/2021,78,119,54,11,43,26,119,PM25,TIDAK SEHAT,DKI2
7/14/2021,66,116,51,13,50,26,116,PM25,TIDAK SEHAT,DKI4
7/15/2021,95,174,62,15,56,30,174,PM25,TIDAK SEHAT,DKI4
7/16/2021,85,138,53,11,53,29,138,PM25,TIDAK SEHAT,DKI4
7/17/2021,74,134,55,10,58,20,134,PM25,TIDAK SEHAT,DKI4
7/18/2021,82,150,55,13,58,27,150,PM25,TIDAK SEHAT,DKI4
7/19/2021,80,140,51,11,77,28,140,PM25,TIDAK SEHAT,DKI4
7/20/2021,86,147,51,15,60,24,147,PM25,TIDAK SEHAT,DKI4
7/21/2021,55,102,52,9,58,19,102,PM25,TIDAK SEHAT,DKI4
7/22/2021,60,110,53,11,54,27,110,PM25,TIDAK SEHAT,DKI4
7/23/2021,63,104,52,10,59,28,104,PM25,TIDAK SEHAT,DKI4
7/24/2021,66,104,54,13,51,34,104,PM25,TIDAK SEHAT,DKI4
7/25/2021,81,148,55,24,54,42,148,PM25,TIDAK SEHAT,DKI4
7/26/2021,79,131,54,16,46,32,131,PM25,TIDAK SEHAT,DKI4
7/27/2021,82,140,56,13,41,35,140,PM25,TIDAK SEHAT,DKI4
7/28/2021,82,145,53,18,40,45,145,PM25,TIDAK SEHAT,DKI4
7/29/2021,78,140,52,18,53,39,140,PM25,TIDAK SEHAT,DKI5
7/30/2021,90,154,54,15,81,35,154,PM25,TIDAK SEHAT,DKI4
7/31/2021,63,100,50,18,65,29,100,PM26,SEDANG,DKI4
8/1/2021,55,86,50,9,67,22,86,PM25,SEDANG,DKI4
8/2/2021,52,81,50,10,59,28,81,PM25,SEDANG,DKI4
8/3/2021,61,104,53,12,47,35,104,PM25,TIDAK SEHAT,DKI4
8/4/2021,64,89,53,9,50,26,89,PM25,SEDANG,DKI2
8/5/2021,61,90,55,11,58,27,90,PM25,SEDANG,DKI4
8/6/2021,76,105,58,20,38,52,105,PM25,TIDAK SEHAT,DKI4
8/7/2021,63,101,53,10,48,18,101,PM25,TIDAK SEHAT,DKI4
8/8/2021,60,92,53,9,57,17,92,PM25,SEDANG,DKI4
8/9/2021,56,82,52,8,57,16,82,PM25,SEDANG,DKI4
8/10/2021,36,68,48,8,55,19,68,PM25,SEDANG,DKI4
8/11/2021,61,102,50,12,59,25,102,PM25,TIDAK SEHAT,DKI4
8/12/2021,65,104,52,10,47,20,104,PM25,TIDAK SEHAT,DKI4
8/13/2021,61,101,51,11,49,32,101,PM25,TIDAK SEHAT,DKI4
8/14/2021,73,116,53,15,53,40,116,PM25,TIDAK SEHAT,DKI5
8/15/2021,63,114,53,12,46,30,114,PM25,TIDAK SEHAT,DKI4
8/16/2021,60,100,54,9,42,21,100,PM25,SEDANG,DKI4
8/17/2021,62,103,51,13,40,22,103,PM25,TIDAK SEHAT,DKI4
8/18/2021,62,97,51,11,42,26,97,PM25,SEDANG,DKI4
8/19/2021,72,119,55,15,28,36,119,PM25,TIDAK SEHAT,DKI4
8/20/2021,73,106,55,12,34,34,106,PM25,TIDAK SEHAT,DKI4
8/21/2021,60,89,51,13,33,35,89,PM25,SEDANG,DKI5
8/22/2021,74,134,52,14,29,29,134,PM25,TIDAK SEHAT,DKI4
8/23/2021,66,106,52,13,33,27,106,PM25,TIDAK SEHAT,DKI4
8/24/2021,69,110,52,12,41,30,110,PM25,TIDAK SEHAT,DKI4
8/25/2021,69,106,51,12,38,34,106,PM25,TIDAK SEHAT,DKI4
8/26/2021,64,96,51,10,31,33,96,PM25,SEDANG,DKI5
8/27/2021,63,105,52,11,32,31,105,PM25,TIDAK SEHAT,DKI4
8/28/2021,76,123,51,11,44,27,123,PM25,TIDAK SEHAT,DKI4
8/29/2021,68,122,52,12,36,29,122,PM25,TIDAK SEHAT,DKI4
8/30/2021,87,140,52,17,39,41,140,PM25,TIDAK SEHAT,DKI4
8/31/2021,74,109,51,19,48,33,109,PM25,TIDAK SEHAT,DKI4
9/1/2021,79,118,55,16,32,38,118,PM25,TIDAK SEHAT,DKI4
9/2/2021,66,115,52,15,39,28,115,PM25,TIDAK SEHAT,DKI4
9/3/2021,66,111,51,11,45,30,111,PM25,TIDAK SEHAT,DKI4
9/4/2021,62,93,50,10,37,28,93,PM25,SEDANG,DKI4
9/5/2021,74,120,52,12,36,28,120,PM25,TIDAK SEHAT,DKI4
9/6/2021,73,109,51,13,34,24,109,PM25,TIDAK SEHAT,DKI4
9/7/2021,60,86,51,11,27,24,86,PM25,SEDANG,DKI4
9/8/2021,64,106,52,16,29,34,106,PM25,TIDAK SEHAT,DKI4
9/9/2021,68,88,54,12,35,31,88,PM25,SEDANG,DKI2
9/10/2021,58,80,53,10,39,32,80,PM25,SEDANG,DKI4
9/11/2021,70,109,53,12,46,41,109,PM25,TIDAK SEHAT,DKI4
9/12/2021,66,111,51,10,36,27,111,PM25,TIDAK SEHAT,DKI4
9/13/2021,56,88,52,9,27,21,88,PM25,SEDANG,DKI4
9/14/2021,36,61,50,8,47,19,61,PM25,SEDANG,DKI4
9/15/2021,69,110,54,20,45,45,110,PM25,TIDAK SEHAT,DKI4
9/16/2021,53,89,52,10,52,24,89,PM25,SEDANG,DKI4
9/17/2021,50,85,51,7,53,20,85,PM25,SEDANG,DKI4
9/18/2021,57,101,53,9,51,22,101,PM25,TIDAK SEHAT,DKI4
9/19/2021,56,83,50,10,68,19,83,PM25,SEDANG,DKI5
9/20/2021,58,81,52,11,54,34,81,PM25,SEDANG,DKI2
9/21/2021,61,99,52,11,58,36,99,PM25,SEDANG,DKI4
9/22/2021,64,119,54,14,48,32,119,PM25,TIDAK SEHAT,DKI4
9/23/2021,61,116,53,10,53,22,116,PM25,TIDAK SEHAT,DKI4
9/24/2021,57,109,53,8,47,26,109,PM25,TIDAK SEHAT,DKI4
9/25/2021,55,102,52,11,50,20,102,PM25,TIDAK SEHAT,DKI4
9/26/2021,56,98,50,10,54,19,98,PM25,SEDANG,DKI4
9/27/2021,53,89,49,12,47,33,89,PM25,SEDANG,DKI4
9/28/2021,49,71,49,10,49,28,71,PM25,SEDANG,DKI2
9/29/2021,61,102,57,13,63,38,102,PM25,TIDAK SEHAT,DKI4
9/30/2021,71,117,63,16,63,37,117,PM25,TIDAK SEHAT,DKI4
10/1/2021,58,91,59,11,65,38,91,PM25,SEDANG,DKI4
10/2/2021,70,127,61,12,58,35,127,PM25,TIDAK SEHAT,DKI4
10/3/2021,70,96,62,11,53,28,96,PM25,SEDANG,DKI4
10/4/2021,62,110,60,11,64,29,110,PM25,TIDAK SEHAT,DKI4
10/5/2021,65,90,67,11,54,33,90,PM25,SEDANG,DKI2
10/6/2021,66,103,66,10,58,35,103,PM25,TIDAK SEHAT,DKI4
10/7/2021,52,77,60,9,50,28,77,PM25,SEDANG,DKI4
10/8/2021,60,98,64,11,54,35,98,PM25,SEDANG,DKI4
10/9/2021,55,83,62,9,60,29,83,PM25,SEDANG,DKI4
10/10/2021,61,97,61,9,72,26,97,PM25,SEDANG,DKI4
10/11/2021,68,100,64,12,66,30,100,PM25,SEDANG,DKI2
10/12/2021,77,111,76,12,49,35,111,PM25,TIDAK SEHAT,DKI4
10/13/2021,57,91,63,9,58,31,91,PM25,SEDANG,DKI4
10/14/2021,73,131,65,12,70,35,131,PM25,TIDAK SEHAT,DKI4
10/15/2021,100,157,64,15,64,37,157,PM25,TIDAK SEHAT,DKI4
10/16/2021,68,122,63,15,63,44,122,PM25,TIDAK SEHAT,DKI4
10/17/2021,71,126,63,15,65,30,126,PM25,TIDAK SEHAT,DKI4
10/18/2021,57,88,58,11,45,26,88,PM25,SEDANG,DKI4
10/19/2021,52,81,60,18,42,35,81,PM25,SEDANG,DKI5
10/20/2021,50,96,73,11,50,27,96,PM25,SEDANG,DKI4
10/21/2021,53,74,61,11,57,32,74,PM25,SEDANG,DKI3
10/22/2021,73,120,82,18,46,48,120,PM25,TIDAK SEHAT,DKI4
10/23/2021,67,109,81,13,53,36,109,PM25,TIDAK SEHAT,DKI4
10/24/2021,68,113,60,17,62,36,113,PM25,TIDAK SEHAT,DKI4
10/25/2021,65,104,62,14,70,37,104,PM25,TIDAK SEHAT,DKI4
10/26/2021,75,130,67,16,50,43,130,PM25,TIDAK SEHAT,DKI4
10/27/2021,62,90,64,15,50,39,90,PM25,SEDANG,DKI4
10/28/2021,54,78,67,16,56,39,78,PM25,SEDANG,DKI4
10/29/2021,54,79,80,19,49,35,80,SO2,SEDANG,DKI2
10/30/2021,64,103,81,15,58,40,103,PM25,TIDAK SEHAT,DKI4
10/31/2021,56,79,63,28,56,32,79,PM25,SEDANG,DKI4
11/1/2021,64,91,77,17,48,41,91,PM25,SEDANG,DKI5
11/2/2021,54,77,51,18,49,35,77,PM25,SEDANG,DKI4
11/3/2021,52,83,51,13,73,38,83,PM25,SEDANG,DKI4
11/4/2021,63,95,52,17,63,47,95,PM25,SEDANG,DKI2
11/5/2021,64,95,52,23,46,46,95,PM25,SEDANG,DKI4
11/6/2021,57,86,52,13,52,40,86,PM25,SEDANG,DKI4
11/7/2021,52,81,51,10,55,25,81,PM25,SEDANG,DKI4
11/8/2021,53,73,52,20,39,41,73,PM25,SEDANG,DKI2
11/9/2021,67,106,51,21,47,38,106,PM25,TIDAK SEHAT,DKI4
11/10/2021,61,100,51,11,36,25,100,PM25,SEDANG,DKI4
11/11/2021,47,71,51,12,36,32,71,PM25,SEDANG,DKI4
11/12/2021,44,63,47,10,38,19,63,PM25,SEDANG,DKI4
11/13/2021,52,82,47,16,52,40,82,PM25,SEDANG,DKI4
11/14/2021,50,68,47,13,46,34,68,PM25,SEDANG,DKI4
11/15/2021,36,58,47,9,36,17,58,PM25,SEDANG,DKI4
11/16/2021,53,82,47,11,41,14,82,PM25,SEDANG,DKI3
11/17/2021,60,99,50,13,45,35,99,PM25,SEDANG,DKI4
11/18/2021,63,106,43,18,56,35,106,PM25,TIDAK SEHAT,DKI4
11/19/2021,32,45,41,7,42,12,45,PM25,BAIK,DKI2
11/20/2021,37,58,43,8,41,17,58,PM25,SEDANG,DKI4
11/21/2021,52,76,41,19,45,44,76,PM25,SEDANG,DKI3
11/22/2021,29,45,42,7,41,12,45,PM25,BAIK,DKI4
11/23/2021,25,55,41,7,41,9,55,PM25,SEDANG,DKI2
11/24/2021,35,59,42,8,37,12,59,PM25,SEDANG,DKI4
11/25/2021,63,83,42,12,40,21,83,PM25,SEDANG,DKI3
11/26/2021,58,78,41,17,39,31,78,PM25,SEDANG,DKI4
11/27/2021,37,56,41,10,45,22,56,PM25,SEDANG,DKI4
11/28/2021,19,33,41,7,47,10,47,O3,BAIK,DKI2
11/29/2021,29,55,42,8,42,12,55,PM25,SEDANG,DKI4
11/30/2021,46,66,43,10,44,17,66,PM25,SEDANG,DKI4
12/1/2021,63,100,43,13,41,30,100,PM25,SEDANG,DKI4
12/2/2021,35,56,42,7,40,14,56,PM25,SEDANG,DKI4
12/3/2021,54,71,43,9,48,17,71,PM25,SEDANG,DKI4
12/4/2021,50,65,45,13,43,16,65,PM25,SEDANG,DKI3
12/5/2021,53,80,44,17,39,29,80,PM25,SEDANG,DKI4
12/6/2021,62,91,55,23,45,57,91,PM25,SEDANG,DKI3
12/7/2021,179,58,44,12,43,21,179,PM10,TIDAK SEHAT,DKI4
12/8/2021,49,76,45,17,51,30,76,PM25,SEDANG,DKI4
12/9/2021,46,63,46,11,51,20,63,PM25,SEDANG,DKI4
12/10/2021,51,73,47,14,41,30,73,PM25,SEDANG,DKI4
12/11/2021,38,60,45,8,51,22,60,PM25,SEDANG,DKI4
12/12/2021,49,63,43,17,42,34,63,PM25,SEDANG,DKI3
12/13/2021,53,68,44,11,34,23,68,PM25,SEDANG,DKI3
12/14/2021,51,76,46,15,37,26,76,PM25,SEDANG,DKI4
12/15/2021,69,124,44,19,50,30,124,PM25,TIDAK SEHAT,DKI4
12/16/2021,78,136,43,20,34,36,136,PM25,TIDAK SEHAT,DKI4
12/17/2021,58,81,43,18,57,35,81,PM25,SEDANG,DKI4
12/18/2021,51,69,42,18,54,32,69,PM25,SEDANG,DKI4
12/19/2021,65,102,41,24,78,45,102,PM25,TIDAK SEHAT,DKI4
12/20/2021,57,86,42,13,58,20,86,PM25,SEDANG,DKI4
12/21/2021,62,74,42,19,39,49,74,PM25,SEDANG,DKI1
12/22/2021,65,98,56,28,54,65,98,PM25,SEDANG,DKI4
12/23/2021,70,99,57,19,44,44,99,PM25,SEDANG,DKI2
12/24/2021,36,65,53,15,36,52,65,PM25,SEDANG,DKI4
12/25/2021,56,85,56,23,35,62,85,PM25,SEDANG,DKI4
12/26/2021,44,71,51,15,37,34,71,PM25,SEDANG,DKI4
12/27/2021,75,121,61,23,40,47,121,PM25,TIDAK SEHAT,DKI4
12/28/2021,59,89,53,16,34,33,89,PM25,SEDANG,DKI4
12/29/2021,61,98,54,15,37,29,98,PM25,SEDANG,DKI4
12/30/2021,60,102,53,17,38,44,102,PM25,TIDAK SEHAT,DKI4
12/31/2021,64,90,52,44,37,53,90,PM25,SEDANG,DKI4
